gen	lnl	s0	s1	tau	alpha_r_library_1	alpha_r_library_2	alpha_r_library_3	alpha_r_library_4	spike_probability	inactive_mean	inactive_variance	active_mean_component1	active_mean_component2	active_variance_component1	active_variance_component2	weight_active	weight_within_active_component_1	weight_within_active_component_2
5760	-10548.4016	-2.0261	-0.3482	0.8431	17.8124	12.6696	15.6213	13.2036	0.1172	-1.916	1.7864	2.5883	6.8141	1.7864	1.7864	0.735	0.99	0.01
5770	-10477.9918	-2.0955	-0.3482	0.8938	17.8124	12.6696	16.5484	13.2036	0.1344	-1.8528	1.7725	2.6451	7.1683	1.7725	1.7725	0.7234	0.9927	0.0073
5780	-10649.8462	-2.0424	-0.3482	0.8832	17.8124	14.148	16.229	12.4186	0.1162	-1.9166	1.736	2.6174	6.7183	1.736	1.736	0.7355	0.9897	0.0103
5790	-10517.2509	-2.0551	-0.3489	0.9061	18.8166	13.8538	16.229	12.4186	0.1289	-1.9891	1.7839	2.6303	6.8243	1.7839	1.7839	0.7413	0.9907	0.0093
5800	-10490.6123	-2.0854	-0.3619	0.9272	18.8166	13.8538	16.229	12.6212	0.1289	-1.9645	1.7722	2.6281	7.1685	1.7722	1.7722	0.7188	0.9882	0.0118
5810	-10574.4933	-2.0558	-0.3555	0.8936	18.8166	13.9909	17.456	12.5669	0.1052	-1.9645	1.7729	2.6411	6.8818	1.7729	1.7729	0.7241	0.9911	0.0089
5820	-10520.3837	-2.0453	-0.3543	0.9045	18.839	13.6197	17.456	12.5669	0.1119	-1.9475	1.793	2.6522	7.2796	1.793	1.793	0.7205	0.9942	0.0058
5830	-10437.3467	-2.0449	-0.3533	0.8894	18.839	13.6197	17.0177	12.5669	0.1186	-1.9168	1.7868	2.6334	7.7359	1.7868	1.7868	0.7358	0.9955	0.0045
5840	-10466.2104	-2.0923	-0.3533	0.9241	17.302	14.0756	15.6877	12.5328	0.1035	-1.985	1.7722	2.6224	7.4888	1.7722	1.7722	0.7237	0.9907	0.0093
5850	-10348.5008	-2.175	-0.3533	0.9853	18.6303	13.0452	15.6877	12.5886	0.1224	-1.8952	1.7657	2.6426	7.1657	1.7657	1.7657	0.7316	0.9924	0.0076
5860	-10460.8467	-2.0414	-0.3534	0.8662	18.0767	13.0452	15.6849	13.0051	0.0975	-1.9564	1.749	2.6706	7.0904	1.749	1.749	0.7408	0.9902	0.0098
5870	-10482.6617	-2.0558	-0.3534	0.8697	18.0767	13.0452	16.3162	13.0051	0.1017	-1.9066	1.8378	2.6046	6.8673	1.8378	1.8378	0.7343	0.9935	0.0065
5880	-10469.4075	-2.0741	-0.3521	0.8536	17.8566	13.0452	16.3162	12.9893	0.114	-1.9273	1.741	2.6375	6.8316	1.741	1.741	0.7314	0.9871	0.0129
5890	-10336.3233	-2.0443	-0.3521	0.8226	17.8566	13.0452	16.3162	12.9893	0.1011	-1.9179	1.7537	2.5991	7.2662	1.7537	1.7537	0.7327	0.9896	0.0104
5900	-10387.4026	-2.0632	-0.3419	0.851	17.8566	13.1335	15.8565	12.9893	0.1262	-1.9095	1.7381	2.6132	8.168	1.7381	1.7381	0.7133	0.9948	0.0052
5910	-10425.6266	-2.0382	-0.3419	0.8283	18.1142	13.9086	16.8894	12.9893	0.1152	-1.9997	1.8045	2.6162	7.7403	1.8045	1.8045	0.7375	0.9946	0.0054
5920	-10504.3994	-2.0808	-0.3419	0.865	18.1142	12.4553	15.4274	12.341	0.1136	-1.9134	1.8113	2.6279	7.2488	1.8113	1.8113	0.7194	0.9922	0.0078
5930	-10411.0617	-2.0436	-0.3365	0.8304	18.1142	12.4553	15.4274	12.341	0.1063	-1.9021	1.8049	2.6023	7.3274	1.8049	1.8049	0.7227	0.9945	0.0055
5940	-10434.7643	-2.0352	-0.3392	0.8247	20.0511	12.3836	15.4274	12.341	0.1317	-1.8465	1.7571	2.7028	7.3659	1.7571	1.7571	0.7278	0.9962	0.0038
5950	-10499.8313	-2.028	-0.3301	0.8037	20.7167	12.3836	15.672	13.4972	0.1179	-1.8327	1.8012	2.6591	7.3935	1.8012	1.8012	0.71	0.9943	0.0057
5960	-10535.0131	-1.9698	-0.3337	0.7638	19.9279	14.4112	15.672	11.6991	0.1166	-1.7802	1.7784	2.6513	7.9262	1.7784	1.7784	0.7179	0.9961	0.0039
5970	-10533.1961	-1.9919	-0.3347	0.7654	19.9279	11.9023	15.672	12.4373	0.1117	-1.7803	1.7853	2.6587	7.4741	1.7853	1.7853	0.7018	0.995	0.005
5980	-10551.479	-2.0089	-0.3329	0.7861	19.9279	13.2892	16.1901	12.4373	0.116	-1.85	1.6922	2.679	7.4113	1.6922	1.6922	0.7267	0.9915	0.0085
5990	-10525.8949	-2.0253	-0.3329	0.8188	17.6753	13.264	15.3566	12.4373	0.1287	-1.9606	1.8518	2.6406	6.7749	1.8518	1.8518	0.7366	0.9926	0.0074
6000	-10469.407	-2.0116	-0.3329	0.7862	17.6753	13.5446	15.3566	12.6251	0.1105	-1.8482	1.8445	2.6537	7.6428	1.8445	1.8445	0.7387	0.9959	0.0041
6010	-10464.7561	-2.0375	-0.3329	0.8009	18.5481	13.6348	16.3536	12.6251	0.1148	-1.9387	1.7908	2.6091	7.4085	1.7908	1.7908	0.727	0.9941	0.0059
6020	-10496.0763	-2.0661	-0.3329	0.8279	18.5481	13.6348	16.3536	11.787	0.1181	-1.8187	1.7266	2.6568	6.6093	1.7266	1.7266	0.7248	0.9897	0.0103
6030	-10393.8619	-2.0826	-0.338	0.8514	18.5481	13.668	16.3536	11.6867	0.1076	-1.8273	1.7266	2.6603	6.6172	1.7266	1.7266	0.7336	0.9874	0.0126
6040	-10506.5653	-2.0297	-0.338	0.827	18.3166	13.668	16.3536	11.6867	0.1334	-1.8488	1.7591	2.6902	6.6016	1.7591	1.7591	0.7178	0.9904	0.0096
6050	-10557.7979	-2.0597	-0.3416	0.8622	18.3166	13.668	16.3536	11.6867	0.1145	-1.809	1.7436	2.6798	7.2417	1.7436	1.7436	0.7171	0.9937	0.0063
6060	-10510.5545	-2.0113	-0.3408	0.8373	18.3166	12.4456	16.3967	11.6867	0.1363	-1.7711	1.7767	2.6344	7.1812	1.7767	1.7767	0.7393	0.9929	0.0071
6070	-10588.2919	-2.0208	-0.3421	0.842	18.3166	12.4456	16.3967	12.0637	0.1317	-1.896	1.7077	2.6355	6.9248	1.7077	1.7077	0.725	0.9871	0.0129
6080	-10507.1587	-2.0733	-0.3421	0.8775	18.7942	12.4456	16.3967	12.7637	0.1396	-1.8394	1.7307	2.6479	6.8068	1.7307	1.7307	0.7033	0.9919	0.0081
6090	-10545.0894	-2.0492	-0.3455	0.853	17.9776	12.3316	16.3967	12.7637	0.1258	-1.8941	1.7609	2.6243	6.6321	1.7609	1.7609	0.7207	0.9883	0.0117
6100	-10487.7743	-2.0723	-0.3466	0.8501	17.9776	12.3316	15.0958	11.3892	0.1226	-1.8183	1.8045	2.6734	7.794	1.8045	1.8045	0.7223	0.9955	0.0045
6110	-10555.0421	-2.0445	-0.3502	0.8608	17.9776	12.5725	15.0958	12.6728	0.1236	-1.9392	1.757	2.6066	7.1964	1.757	1.757	0.7273	0.9923	0.0077
6120	-10478.1831	-2.0156	-0.3502	0.833	17.9776	12.5725	15.0958	12.6816	0.1074	-1.8848	1.8332	2.6275	7.0911	1.8332	1.8332	0.7339	0.9915	0.0085
6130	-10334.9843	-2.0903	-0.3502	0.8978	17.9776	12.0131	15.0958	11.4556	0.0848	-1.95	1.7799	2.6238	7.9501	1.7799	1.7799	0.727	0.9923	0.0077
6140	-10337.1785	-2.0901	-0.3468	0.8786	17.9776	12.0131	17.1537	11.7531	0.1047	-1.966	1.7648	2.6649	7.2907	1.7648	1.7648	0.7306	0.9904	0.0096
